Flight No.,Launch site,Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Version Booster,Date,Time
60,CCAFS,"5,800 kg",GTO,Telkom Indonesia,Success,Success,Merah Putih,F9 B5B1046.2,7 August 2018,05:18
61,CCAFS,"7,060 kg",GTO,Telesat,Success,Success,Telstar 18V,F9 B5,10 September 2018,04:45
62,VAFB,"3,000 kg",SSO,CONAE,Success,Success,SAOCOM 1A,F9 B5B1048.2,8 October 2018,02:22
63,KSC,"5,300 kg",GTO,Es'hailSat,Success,Success,Es'hail 2,F9 B5B1047.2,15 November 2018,20:46
64,VAFB,"~4,000 kg",SSO,Spaceflight Industries,Success,Success,SSO-A,F9 B5B1046.3,3 December 2018,18:34:05
65,CCAFS,"2,500 kg",LEO,NASA (CRS),"Success
",Failure,SpaceX CRS-16,F9 B5,5 December 2018,18:16
66,CCAFS,"4,400 kg",MEO,USAF,Success,No attempt,GPS III,F9 B5,23 December 2018,13:51
67,VAFB,"9,600 kg",Polar,Iridium Communications,"Success
",Success,Iridium NEXT,F9 B5B1049.2,11 January 2019,15:31
68,CCAFS,"4,850 kg",GTO,"PSN
SpaceIL / IAI
Air Force Research","Success
",Success,Nusantara Satu,F9 B5B1048.3,22 February 2019,01:45
69,KSC,"12,055 kg",LEO,NASA (CCD),"Success
",Success,Crew Dragon Demo-1,F9 B5[268],2 March 2019,07:49
70,CCAFS,"2,495 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-17,F9 B5,4 May 2019,06:48
71,CCAFS,"13,620 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1049.3,24 May 2019,02:30
72,VAFB,"4,200 kg",SSO,Canadian Space Agency (CSA),"Success
",Success,RADARSAT Constellation,F9 B5B1051.2,12 June 2019,14:17
73,CCAFS,"2,268 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-18,F9 B5B1056.2,25 July 2019,22:01
74,CCAFS,"6,500 kg",GTO,Spacecom,"Success
",No attempt,AMOS-17,F9 B5B1047.3,6 August 2019,23:23
75,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,11 November 2019,14:56
76,CCAFS,"2,617 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-19,F9 B5,5 December 2019,17:29
77,CCAFS,"6,956 kg",GTO,Sky Perfect JSATKacific 1,"Success
",Success,JCSat-18,F9 B5B1056.3,17 December 2019,00:10
78,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,7 January 2020,02:19:21
79,KSC,"12,050 kg",Sub-orbital,NASA (CTS)[497],"Success
","No attempt
",Crew Dragon in-flight abort test,F9 B5,19 January 2020,15:30
80,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,29 January 2020,14:07
81,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Failure,Starlink,F9 B5,17 February 2020,15:05
82,CCAFS,"1,977 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-20,F9 B5,7 March 2020,04:50
83,KSC,"15,600 kg",LEO,SpaceX,"Success
",Failure,Starlink,F9 B5,18 March 2020,12:16
84,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,22 April 2020,19:30
85,KSC,"12,530 kg",LEO,NASA (CCDev),"Success
",Success,Crew Dragon Demo-2,F9 B5,30 May 2020,19:22
86,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,4 June 2020,01:25
87,CCAFS,"15,410 kg",LEO,SpaceXPlanet Labs,"Success
",Success,Starlink,F9 B5,13 June 2020,09:21
88,CCAFS,"4,311 kg",MEO,U.S. Space Force[530],"Success
",Success,GPS III,F9 B5,30 June 2020,20:10:46
89,CCAFS,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",Success,ANASIS-II,F9 B5B1058.2,20 July 2020,21:30
90,KSC,"14,932 kg",LEO,SpaceXSpaceflight Industries (BlackSky),"Success
",Success,Starlink,F9 B5,7 August 2020,05:12
91,CCAFS,"~15,440 kg",LEO,SpaceXPlanet Labs,"Success
",Success,Starlink,F9 B5B1049.6,18 August 2020,14:31
92,CCAFS,"3,130 kg",SSO,CONAEPlanetIQTyvak,"Success
",Success,SAOCOM 1B,F9 B5,30 August 2020,23:18
93,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1060.2,3 September 2020,12:46:14
94,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1058.3,6 October 2020,11:29:34
95,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1051.6,18 October 2020,12:25:57
96,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5,24 October 2020,15:31:34
97,CCAFS,"4,311 kg",MEO,USSF,"Success
",Success,GPS III,F9 B5,5 November 2020,23:24:23
98,KSC,"~12,500 kg",LEO,NASA (CCP)[497],"Success
",Success,Crew-1,F9 B5,16 November 2020,00:27
99,VAFB,"1,192 kg",LEO,NASA / NOAA / ESA / EUMETSAT,"Success
",Success,Sentinel-6 Michael Freilich (Jason-CS A),F9 B5,21 November 2020,17:17:08
100,CCAFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,25 November 2020,02:13
101,KSC,"2,972 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-21,F9 B5 ♺,6 December 2020,16:17:08
102,CCSFS,"7,000 kg",GTO,Sirius XM,"Success
",Success,SXM-7,F9 B5 ♺,13 December 2020,17:30:00
103,KSC,C,LEO,NRO,"Success
",Success,NROL-108,F9 B5 ♺,19 December 2020,14:00:00
104,CCSFS,"3,500 kg",GTO,Türksat,"Success
",Success,Türksat 5A,F9 B5,8 January 2021,02:15
105,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1051.8,20 January 2021,13:02
106,CCSFS,"~5,000 kg",SSO,Various,"Success
",Success,Transporter-1,F9 B5B1058.5,24 January 2021,15:00
107,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,4 February 2021,06:19
108,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Failure,Starlink,F9 B5 ♺,16 February 2021,03:59:37
109,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,4 March 2021,08:24
110,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,11 March 2021,08:13:29
111,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,14 March 2021,10:01
112,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1060.6,24 March 2021,08:28
113,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5 ♺,7 April 2021,16:34
114,KSC,"~13,000 kg",LEO,NASA (CTS)[497],"Success
",Success,Crew-2,F9 B5B1061.2,23 April 2021,9:49
115,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1060.7,29 April 2021,03:44
116,KSC,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1049.9,4 May 2021,19:01
117,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1051.10,9 May 2021,06:42
118,KSC,"~14,000 kg",LEO,SpaceX Capella Space and Tyvak,"Success
",Success,Starlink,F9 B5B1058.8,15 May 2021,22:56
119,CCSFS,"15,600 kg",LEO,SpaceX,"Success
",Success,Starlink,F9 B5B1063.2,26 May 2021,18:59
120,KSC,"3,328 kg",LEO,NASA (CRS),"Success
",Success,SpaceX CRS-22,F9 B5B1067.1,3 June 2021,17:29
121,CCSFS,"7,000 kg",GTO,Sirius XM,"Success
",Success,SXM-8,F9 B5,6 June 2021,04:26
